answer_id,mentor_id,question_id
60b813a8733e6a54b9d4aeb0,60b80235733e6a54b9c91d89,607766dec525ba7b7268e79a
60bb1b7d733e6a54b94541f9,60ba6dbc733e6a54b9b9af3a,606cebab4deb58685de5bb4e
60bbd792733e6a54b9c4b31b,60bbd6c1733e6a54b9c40608,6098b41257ab183da46cf777
60cfa7b42c386ac229b2204f,60cfa73d2c386ac229b1ee55,606cebab4deb58685de5bb4e
60e5dbb2aad5f152650a7607,60e5dae7aad5f1526509c0bd,607766dec525bac93868e79c
60e5f289aad5f152651e88dc,60e5f15aaad5f152651de947,607766dec525ba27de68e799
60e5f28eaad5f152651e8fac,60e5f15aaad5f152651de947,607766dec525ba7b7268e79a
60e5f296aad5f152651e937e,60e5f15aaad5f152651de947,607766dec525ba87bf68e79b
60e5f2adaad5f152651ea10f,60e5f15aaad5f152651de947,607766dec525bac93868e79c
60ef4d131b150af4af5c0415,60c2857a3ba5612cf4974dc3,60c7b69407dd70415d3c5965
60ef4d1b1b150af4af5c0698,60c2857a3ba5612cf4974dc3,60c7b69407dd70e9753c5966
60ef549e1b150af4af604b4f,60c2857a3ba5612cf4974dc3,60c7b69407dd702a7c3c5963
60ef5fe71b150af4af681336,60c2857a3ba5612cf4974dc3,60d8d4069fcf357e80545601
60ef6b3a1b150af4af6ff505,60c2857a3ba5612cf4974dc3,60c7b69407dd7007eb3c5968
60ef70e21b150af4af74f0f6,602d8a119cdc4ae255fdf957,606e34d27dae603f99d804cc
60ef70ec1b150af4af74f608,602d8a119cdc4ae255fdf957,606e34d27dae60fe92d804c9
60ef72a51b150af4af75bc1e,602d8a119cdc4ae255fdf957,606e34d27dae606321d804d0
60ef73241b150af4af75f045,602d8a119cdc4ae255fdf957,606e34d27dae605951d804d5
60ef73331b150af4af75f60d,602d8a119cdc4ae255fdf957,606e34d27dae60f3f3d804d6
60ef79ab1b150af4af78c39e,602d8a119cdc4ae255fdf957,60e50f8283e2e01bea9f3da0
60f089551b150af4af1e3e60,60cd7903fb18c394187e81e1,607766dec525ba7b7268e79a
60f6f61a1b150af4affff193,60b80235733e6a54b9c91d89,6075d0d17dae6085f3d8063a
60f6f61b1b150af4affff1c4,60b80235733e6a54b9c91d89,606b4b4f7340dab556ce1d78
60f6f61b1b150af4affff1ee,60b80235733e6a54b9c91d89,606be4cdff6df93ab9bb3866
60f6f61b1b150af4affff236,60b80235733e6a54b9c91d89,606bebe9ff6df93c50bb388d
60f6f61b1b150af4affff245,60b80235733e6a54b9c91d89,606bebe9ff6df981b5bb388e
60f6f61b1b150af4affff258,60b80235733e6a54b9c91d89,606bebeaff6df9d86ebb388f
60f6f61d1b150af4affff2e3,60b80235733e6a54b9c91d89,606e34d27dae607b64d804c8
60f6f61d1b150af4affff37c,60b80235733e6a54b9c91d89,606e34d27dae606321d804d0
60f6f61e1b150af4affff3e4,60b80235733e6a54b9c91d89,606e34d27dae605951d804d5
60f6f61f1b150af4affff443,60b80235733e6a54b9c91d89,606e34d27dae603e6cd804db
60f748ed1b150af4af35be81,608c6b6470dca1fc36b79c3a,60c7b69407dd7081773c5964
60f86e121b150af4aff5653c,60cd7903fb18c394187e81e1,607766dec525ba87bf68e79b
60f894071b150af4af099e96,60f87a351b150af4affd249d,606d025d0092bd664b85bcb9
60fdc6b4990506b3649d5a52,60fdc3e2990506b3649bcd0d,6098b41257ab183da46cf777
60fdcc75990506b364a252cf,60fdc3e2990506b3649bcd0d,60c7b69407dd70fe413c596e
60fdcc9d990506b364a275d4,60fdc3e2990506b3649bcd0d,60c7b69407dd701be53c596d
60fdd1e4990506b364a70489,60fdc3e2990506b3649bcd0d,60c7b69407dd7058073c5979
60fdd542990506b364a92883,60fdc3e2990506b3649bcd0d,60c7b69407dd70963e3c5978
60fdd556990506b364a936b3,60fdc3e2990506b3649bcd0d,60c7b69407dd700fd03c5976
60fdd742990506b364aaa41c,60fdc3e2990506b3649bcd0d,60c7b69407dd70af8f3c597d
60fdd7bc990506b364aad2d9,60fdc3e2990506b3649bcd0d,60c7b69407dd7085043c597b
60fdd7cc990506b364aad81b,60fdc3e2990506b3649bcd0d,60c7b69407dd70afd33c597f
60fdda02990506b364ac47a3,60fdc3e2990506b3649bcd0d,60c7b69407dd7065803c5982
60fdda6d990506b364ac6f61,60fdc3e2990506b3649bcd0d,60c7b69407dd70364c3c5981
60fddb51990506b364acbcc9,60fdc3e2990506b3649bcd0d,60c7b69407dd70c41d3c5986
60fdde57990506b364aef55e,60fdc3e2990506b3649bcd0d,60c7b69407dd7025283c598b
60fdde7d990506b364af1e83,60fdc3e2990506b3649bcd0d,60c7b69407dd70c2103c598f
60fdde90990506b364af257c,60fdc3e2990506b3649bcd0d,60c7b69407dd704e203c598c
60fded22990506b364b68c09,60fdc3e2990506b3649bcd0d,60f87485414594c5fe7f9ba2
61044c346e6fa01e5b2900d0,61044bfd6e6fa01e5b28ef9b,606cebab4deb58685de5bb4e
61044c436e6fa01e5b29059e,61044bfd6e6fa01e5b28ef9b,606d025d0092bd664b85bcb9
610453f96e6fa01e5b2f1a25,60187c7f9cdc4ae25505049f,60c7b69407dd7081773c5964
610454196e6fa01e5b2f25a0,60187c7f9cdc4ae25505049f,60c7b69407dd705b803c5967
610dd3da16e879e3c3d87b8a,610dad8c16e879e3c3c6f711,607766dec525bac93868e79c
610dd44516e879e3c3d8af3e,610dad8c16e879e3c3c6f711,60c7b69407dd7081773c5964
610dd45316e879e3c3d8b4cc,610dd3f616e879e3c3d88818,6098b41257ab183da46cf777
610dd6df16e879e3c3d9dd04,610dd3f616e879e3c3d88818,60c7b69407dd705b803c5967
610dda7916e879e3c3db8a9f,610dd3f616e879e3c3d88818,60c7b69407dd701be53c596d
610ddaad16e879e3c3dba24b,610dd3f616e879e3c3d88818,60c7b69407dd70fe413c596e
610de00116e879e3c3de66c7,610dd3f616e879e3c3d88818,60c7b69407dd70604a3c5972
610e956916e879e3c3363f17,610e854f16e879e3c32ea550,60c7b69407dd70e9753c5966
610e99e716e879e3c3386f7c,610e854f16e879e3c32ea550,60c7b69407dd70481f3c596c
610e9f0316e879e3c33ad7b0,610e854f16e879e3c32ea550,60c7b69407dd70fe413c596e
610e9f0b16e879e3c33adb9c,610e854f16e879e3c32ea550,60c7b69407dd701be53c596d
610ea2ed16e879e3c33cbd3b,610e854f16e879e3c32ea550,60c7b69407dd706a183c597a
610ea34016e879e3c33ce3fd,610e854f16e879e3c32ea550,60c7b69407dd7058073c5979
610eaf9a16e879e3c342f74b,610e854f16e879e3c32ea550,60c7b69407dd701a043c5985
610eaff916e879e3c34334e2,610e854f16e879e3c32ea550,60c7b69407dd70a7bf3c5987
610eb3d916e879e3c3454740,610e854f16e879e3c32ea550,60c7b69407dd70f0003c598a
610eb43216e879e3c3457620,610e854f16e879e3c32ea550,60c7b69407dd7065293c5989
610eb6f116e879e3c346cb4f,610e854f16e879e3c32ea550,60c7b69407dd704e203c598c
610eb8bc16e879e3c347a2f8,610e854f16e879e3c32ea550,60c7b69407dd70c2103c598f
60b813ce733e6a54b9d4bca8,60b80235733e6a54b9c91d89,607766dec525bac93868e79c
60ba58e0733e6a54b9ab51f4,60187c7f9cdc4ae25505049f,60ba573b4af9c3257847259f
60c7da2ea711e5b9c8dfd9a9,608c6b6470dca1fc36b79c3a,6098b41257ab183da46cf777
60de6cf9aad5f15265cdbcc2,602d8a119cdc4ae255fdf957,60de126f9fcf35b469545af0
60e5db14aad5f1526509db36,60e5dae7aad5f1526509c0bd,606d025d0092bd664b85bcb9
60ef49a91b150af4af59fa53,60c2857a3ba5612cf4974dc3,606cebab4deb58685de5bb4e
60ef49d91b150af4af5a10ab,60c2857a3ba5612cf4974dc3,606d025d0092bd664b85bcb9
